"provider","object_type","current_schema","current_relation","current_object","current_columns","referenced_relation","referenced_columns"
"sqlserver","primary_key","dbo","AirQMonitorStatus","PK__AirQMoni__5E5B3EE492A9E513","SerialId","",""
"sqlserver","foreign_key","dbo","AspNetRoleClaims","FK_AspNetRoleClaims_AspNetRoles_RoleId","RoleId","AspNetRoles","Id"
"sqlserver","primary_key","dbo","AspNetRoleClaims","PK_AspNetRoleClaims","Id","",""
"sqlserver","primary_key","dbo","AspNetRoles","PK_AspNetRoles","Id","",""
"sqlserver","foreign_key","dbo","AspNetUserClaims","FK_AspNetUserClaims_AspNetUsers_UserId","UserId","AspNetUsers","Id"
"sqlserver","primary_key","dbo","AspNetUserClaims","PK_AspNetUserClaims","Id","",""
"sqlserver","foreign_key","dbo","AspNetUserLogins","FK_AspNetUserLogins_AspNetUsers_UserId","UserId","AspNetUsers","Id"
"sqlserver","primary_key","dbo","AspNetUserLogins","PK_AspNetUserLogins","LoginProvider|ProviderKey","",""
"sqlserver","foreign_key","dbo","AspNetUserRoles","FK_AspNetUserRoles_AspNetRoles_RoleId","RoleId","AspNetRoles","Id"
"sqlserver","foreign_key","dbo","AspNetUserRoles","FK_AspNetUserRoles_AspNetUsers_UserId","UserId","AspNetUsers","Id"
"sqlserver","primary_key","dbo","AspNetUserRoles","PK_AspNetUserRoles","UserId|RoleId","",""
"sqlserver","primary_key","dbo","AspNetUsers","PK_AspNetUsers","Id","",""
"sqlserver","foreign_key","dbo","AspNetUserTokens","FK_AspNetUserTokens_AspNetUsers_UserId","UserId","AspNetUsers","Id"
"sqlserver","primary_key","dbo","AspNetUserTokens","PK_AspNetUserTokens","UserId|LoginProvider|Name","",""
"sqlserver","primary_key","dbo","Companies","PK_Companies","Id","",""
"sqlserver","foreign_key","dbo","Contracts","FK_Contracts_Companies_CompanyId","CompanyId","Companies","Id"
"sqlserver","foreign_key","dbo","Contracts","FK_Contracts_Sites_SiteiD","SiteiD","Sites","Id"
"sqlserver","primary_key","dbo","Contracts","PK_Contracts","Id","",""
"sqlserver","foreign_key","dbo","Deployments","FK_Deployments_Contracts_ContractId","ContractId","Contracts","Id"
"sqlserver","foreign_key","dbo","Deployments","FK_Deployments_MonitorsList_MonitorId","MonitorId","MonitorsList","Id"
"sqlserver","primary_key","dbo","Deployments","PK2_Deployments","Id","",""
"sqlserver","primary_key","dbo","ErrorLog","PK_NLogError","Id","",""
"sqlserver","foreign_key","dbo","HelpArticles","FK_HelpArticles_HelpSections_SectionId","SectionId","HelpSections","Id"
"sqlserver","index","dbo","HelpArticles","IX_HelpArticles_SectionId","SectionId","",""
"sqlserver","index","dbo","HelpArticles","IX_HelpArticles_Slug","Slug","",""
"sqlserver","primary_key","dbo","HelpArticles","PK_HelpArticles","Id","",""
"sqlserver","foreign_key","dbo","HelpAssets","FK_HelpAssets_HelpArticles_HelpArticleId","HelpArticleId","HelpArticles","Id"
"sqlserver","index","dbo","HelpAssets","IX_HelpAssets_HelpArticleId","HelpArticleId","",""
"sqlserver","primary_key","dbo","HelpAssets","PK_HelpAssets","Id","",""
"sqlserver","index","dbo","HelpSections","IX_HelpSections_Slug","Slug","",""
"sqlserver","primary_key","dbo","HelpSections","PK_HelpSections","Id","",""
"sqlserver","primary_key","dbo","MonitorsList","PK_MonitorsList","Id","",""
"sqlserver","primary_key","dbo","Notifications","PK_Notifications","Id","",""
"sqlserver","foreign_key","dbo","NotificationSettings","FK_NotificationSettings_SiteUsers","SiteUserId","SiteUsers","Id"
"sqlserver","primary_key","dbo","NotificationSettings","PK_NotificationSettings","Id","",""
"sqlserver","primary_key","dbo","NotificationsSent","PK_NotificationsSent","Id","",""
"sqlserver","primary_key","dbo","OmnidotsMonitorStatus","PK__Omnidots__3214EC0736C6B626","Id","",""
"sqlserver","index","dbo","OmnidotsPeakLevels","_dta_index_OmnidotsPeakLevels_25_1957582012__K2_K1_3_4_5_6_7_8_9_10_11","SampleTime|SerialId","",""
"sqlserver","index","dbo","OmnidotsPeakLevels","IX_OmnidotsPeakLevels_SerialId_SampleTimeDesc","SerialId|SampleTime","",""
"sqlserver","primary_key","dbo","OmnidotsSensors","PK__Omnidots__3214EC0704E3BD04","Id","",""
"sqlserver","foreign_key","dbo","OmnidotsTraces","FK__OmnidotsT__Trace__2DE6D218","TraceId","OmnidotsTracesIndex","Id"
"sqlserver","primary_key","dbo","OmnidotsTracesIndex","PK__Omnidots__3214EC071EF1F55E","Id","",""
"sqlserver","primary_key","dbo","ReportRules","PK_ReportConfig","Id","",""
"sqlserver","primary_key","dbo","Reports","PK_Reports","Id","",""
"sqlserver","primary_key","dbo","ReportsSent","PK_ReportsSent","Id","",""
"sqlserver","primary_key","dbo","ReportUsers","PK_ReportUsers","Id","",""
"sqlserver","foreign_key","dbo","RvtAlertRules","FK_RvtAlertRules_MonitorsList_MonitorId","MonitorId","MonitorsList","Id"
"sqlserver","primary_key","dbo","RvtAlertRules","PK_RvtAlertRules","Id","",""
"sqlserver","foreign_key","dbo","SiteArchived","FK_SiteArchived_Sites_SiteId","SiteId","Sites","Id"
"sqlserver","primary_key","dbo","SiteArchived","PK_SiteArchived","Id","",""
"sqlserver","primary_key","dbo","SiteAverages","PK__SiteAver__3214EC076B98609D","Id","",""
"sqlserver","foreign_key","dbo","SiteOperatingHours","FK_SiteOperatingHours_Sites_SiteId","SiteId","Sites","Id"
"sqlserver","index","dbo","SiteOperatingHours","IX_SiteOperatingHours_SiteId_DayOfWeek","SiteId|DayOfWeek","",""
"sqlserver","primary_key","dbo","SiteOperatingHours","PK_SiteOperatingHours","Id","",""
"sqlserver","primary_key","dbo","Sites","PK_Sites","Id","",""
"sqlserver","foreign_key","dbo","SiteUsers","FK_SiteUsers_Sites_SiteId","SiteId","Sites","Id"
"sqlserver","primary_key","dbo","SiteUsers","PK_SiteUsers","Id","",""
"sqlserver","primary_key","dbo","UserActionsHistory","PK__UserActi__3214EC27FF1B54AC","ID","",""
